plot;abbr;layer;cov;comment;voucher;history
kb10;quer robu;tl2;2b;;;
kb10;sorb aria;tl2;1;;;
kb10;taxu bacc;tl2;2a;;;
kb11;acer plat;hl;+;;;
kb11;acer pseu;hl;+;;;
kb11;alli oler;hl;+;;;
kb11;anth ramo;hl;+;;;
kb11;aspl ruta;hl;r;;;
kb11;aspl tric quad;hl;r;;;
kb11;brac sylv;hl;+;;;
kb11;cala vari;hl;2a;;;
kb11;camp pers;hl;+;;;
kb11;camp rapu rapu;hl;+;;;
kb11;care alba;hl;3;;;
kb11;care digi;hl;+;;;
kb11;care mont;hl;2b;;;
kb11;care orni orni;hl;r;;;
kb11;carp betu;hl;+;;;
kb11;ceph long;hl;r;;;
kb11;conv maja maja;hl;+;;;
kb11;corn sang slat;hl;+;;;
kb11;cory avel;hl;+;;;
kb11;crat laev laev;hl;+;;;
kb11;cycl purp;hl;1;;;
kb11;euph amyg amyg;hl;+;;;
kb11;euph dulc dulc;hl;+;;;
kb11;fagu sylv;hl;1;;;
kb11;frax exce;hl;1;;;
kb11;hede heli;hl;1;;;
kb11;hepa nobi;hl;1;;;
kb11;hier bifi;hl;+;;;
kb11;jugl regi;hl;+;;;
kb11;labu anag;hl;+;;;
kb11;ligu vulg;hl;+;;;
kb11;lili mart;hl;+;;;
kb11;mela prat;hl;1;;;
kb11;mela sylv;hl;1;;;
kb11;meli nuta;hl;+;;;
kb11;poly mult;hl;+;;;
kb11;poly odor;hl;r;;;
kb11;pren purp;hl;+;;;
kb11;quer petr;hl;+;;;
kb11;quer robu;hl;+;;;
kb11;rham cath;hl;1;;;
kb11;rosa arve;hl;1;;;
kb11;salv glut;hl;+;;;
kb11;sesl caer;hl;+;;;
kb11;sorb aria;hl;1;;;
kb11;taxu bacc;hl;r;;;
kb11;tili cord;hl;+;;;
kb11;tili plat;hl;+;;;
kb11;vibu lant;hl;+;;;
kb11;vinc hiru;hl;1;;;
kb11;viol coll;hl;+;2014-0104;;
kb11;viol reic;hl;+;;;
kb11;carp betu;sl;1;;;
kb11;corn sang slat;sl;+;;;
kb11;cory avel;sl;1;;;
kb11;labu anag;sl;2a;;;
kb11;ligu vulg;sl;1;;;
kb11;quer petr;sl;1;;;
kb11;quer robu;sl;+;;;
kb11;rham cath;sl;+;;;
kb11;rosa arve;sl;+;;;
kb11;sorb aria;sl;1;;;
kb11;tili plat;sl;1;;;
kb11;vibu lant;sl;1;;;
kb11;carp betu;tl1;1;;;
kb11;frax exce;tl1;2b;;;
kb11;quer petr;tl1;2b;;;
kb11;carp betu;tl2;2b;;;
kb11;fagu sylv;tl2;2b;;;
kb11;quer petr;tl2;1;;;
kb11;sorb aria;tl2;2a;;;
kb11;tili cord;tl2;2a;;;
kb11;tili plat;tl2;2b;;;
kb12;amel oval;hl;r;;;
kb12;berb vulg;hl;+;;;
kb12;brac sylv;hl;+;;;
kb12;cala vari;hl;1;;;
kb12;camp pers;hl;+;;;
kb12;camp rapu rapu;hl;+;;;
kb12;camp trac;hl;+;;;
kb12;care alba;hl;4;;;
kb12;care digi;hl;1;;;
kb12;care flac;hl;+;;;
kb12;care mont;hl;+;;;
kb12;care orni orni;hl;+;;;
kb12;carp betu;hl;+;;;
kb12;ceph dama;hl;r;;;
kb12;ceph long;hl;+;;;
kb12;corn sang slat;hl;1;;;
kb12;cory avel;hl;+;;;
kb12;coto inte;hl;r;;;
kb12;crat laev laev;hl;+;;;
kb12;cycl purp;hl;+;;;
kb12;euon euro;hl;+;;;
kb12;fagu sylv;hl;+;;;
kb12;frag vesc;hl;+;;;
kb12;hede heli;hl;1;;;
kb12;hepa nobi;hl;+;;;
kb12;labu anag;hl;1;;;
kb12;lase lati lati;hl;+;;;
kb12;ligu vulg;hl;+;;;
kb12;poly odor;hl;+;;;
kb12;quer robu;hl;+;;;
kb12;rham cath;hl;+;;;
kb12;rosa arve;hl;+;;;
kb12;salv glut;hl;+;;;
kb12;sesl caer;hl;r;;;
kb12;sorb aria;hl;+;;;
kb12;tili plat;hl;+;;;
kb12;vinc hiru;hl;1;;;
kb12;viol reic;hl;+;;;
kb12;carp betu;sl;1;;;
kb12;corn mas;sl;r;;;
kb12;corn sang slat;sl;1;;;
kb12;cory avel;sl;2b;;;
kb12;crat laev laev;sl;+;;;
kb12;fagu sylv;sl;1;;;
kb12;frax exce;sl;1;;;
kb12;labu anag;sl;2b;;;
kb12;ligu vulg;sl;1;;;
kb12;quer petr;sl;+;;;
kb12;rham cath;sl;+;;;
kb12;vibu lant;sl;2a;;;
kb12;frax exce;tl1;2b;;;
kb12;carp betu;tl2;3;;;
kb12;frax exce;tl2;2a;;;
kb12;labu anag;tl2;2a;;;
kb12;quer petr;tl2;2a;;;
kb12;sorb aria;tl2;1;;;
kb12;tili ✕eur;tl2;1;cf.;;
kb12;tili plat;tl2;2a;;;
kb13;acer plat;hl;+;;;
kb13;acer pseu;hl;1;;;
kb13;acon lyco vulp;hl;2a;;;
kb13;aego poda;hl;r;;;
kb13;ajug rept;hl;+;;;
kb13;apos foet;hl;+;;;
kb13;arun dioi;hl;+;;;
kb13;brac sylv;hl;+;;;
kb13;camp pers;hl;r;;;
kb13;camp rapu rapu;hl;+;;;
kb13;camp trac;hl;r;;;
kb13;card enne;hl;+;;;
kb13;care alba;hl;3;;;
kb13;care digi;hl;+;;;
kb13;care flac;hl;+;;;
kb13;clem vita;hl;+;;;
kb13;conv maja maja;hl;+;;;
kb13;corn sang slat;hl;+;;;
kb13;cory avel;hl;+;;;
kb13;crat laev laev;hl;+;;;
kb13;cycl purp;hl;+;;;
kb13;daph meze;hl;+;;;
kb13;dryo fili;hl;+;;;
kb13;epip atro;hl;r;;;
kb13;euon lati;hl;r;;;
kb13;euph amyg amyg;hl;+;;;
kb13;euph dulc dulc;hl;+;;;
kb13;fagu sylv;hl;+;;;
kb13;frax exce;hl;1;;;
kb13;gali sylv;hl;1;;;
kb13;gymn robe;hl;+;;;
kb13;hede heli;hl;+;;;
kb13;hepa nobi;hl;2m;;;
kb13;knau maxi;hl;+;;;
kb13;ligu vulg;hl;+;;;
kb13;lili mart;hl;+;;;
kb13;loni alpi;hl;+;;;
kb13;loni xylo;hl;+;;;
kb13;meli nuta;hl;+;;;
kb13;merc pere;hl;+;;;
kb13;moli caer aggr;hl;1;M. arundinacea;;
kb13;pari quad;hl;+;;;
kb13;phyt spic;hl;+;;;
kb13;pice abie;hl;+;;;
kb13;poly acul;hl;+;;;
kb13;poly cham;hl;+;;;
kb13;poly lonc;hl;r;;;
kb13;poly mult;hl;+;;;
kb13;pren purp;hl;+;;;
kb13;prim elat;hl;+;;;
kb13;pter aqui;hl;+;;;
kb13;ranu nemo;hl;+;;;
kb13;rosa arve;hl;+;;;
kb13;rosa pend;hl;+;;;
kb13;rubu sect rubu;hl;+;R. hirtus;;
kb13;salv glut;hl;1;;;
kb13;soli virg virg;hl;r;;;
kb13;sorb aria;hl;1;;;
kb13;stap pinn;hl;+;;;
kb13;taxu bacc;hl;+;;;
kb13;tili ✕eur;hl;+;cf.;;
kb13;tili plat;hl;+;cf.;;
kb13;ulmu glab;hl;r;;;
kb13;vale trip;hl;+;;;
kb13;vero urti;hl;+;;;
kb13;vibu lant;hl;+;;;
kb13;vibu opul;hl;+;;;
kb13;vinc hiru;hl;1;;;
kb13;viol reic;hl;+;;;
kb13;viol rivi;hl;+;;;
kb13;acer plat;sl;1;;;
kb13;acer pseu;sl;1;;;
kb13;clem vita;sl;+;;;
kb13;cory avel;sl;+;;;
kb13;crat laev laev;sl;1;;;
kb13;daph meze;sl;+;;;
kb13;fagu sylv;sl;1;;;
kb13;frax exce;sl;2a;;;
kb13;jugl regi;sl;+;;;
kb13;ligu vulg;sl;+;;;
kb13;loni alpi;sl;1;;;
kb13;loni xylo;sl;1;;;
kb13;rosa pend;sl;+;;;
kb13;sorb aria;sl;2a;;;
kb13;vibu lant;sl;1;;;
kb13;fagu sylv;tl1;3;;;
kb13;acer plat;tl2;1;;;
kb13;fagu sylv;tl2;3;;;
kb13;frax exce;tl2;1;;;
kb13;hede heli;tl2;1;;;
kb13;sorb aria;tl2;1;;;
kb13;taxu bacc;tl2;1;;;
kb14;acer plat;hl;+;;;
kb14;acer pseu;hl;+;;;
kb14;acon lyco vulp;hl;+;;;
kb14;acta spic;hl;+;;;
kb14;alli peti;hl;+;;;
kb14;apos foet;hl;+;;;
kb14;aspl scol scol;hl;1;;;
kb14;aspl tric quad;hl;+;;;
kb14;aspl viri;hl;+;;;
kb14;athy fili;hl;+;;;
kb14;camp trac;hl;+;;;
kb14;circ lute lute;hl;+;;;
kb14;cycl purp;hl;+;;;
kb14;cyst frag;hl;r;;;
kb14;dryo affi aggr;hl;+;;;
kb14;dryo fili;hl;+;;;
kb14;epil mont;hl;r;;;
kb14;fagu sylv;hl;+;;;
kb14;frax exce;hl;1;;;
kb14;gale mont;hl;2b;;;
kb14;gera robe;hl;+;;;
kb14;impa parv;hl;r;;;
kb14;lact mura;hl;+;;;
kb14;merc pere;hl;+;;;
kb14;phyt spic;hl;+;;;
kb14;poly acul;hl;+;;;
