plot;variable;value
Morton1950:2/49;hcov;10
Morton1950:2/49;mcov;0
Morton1950:2/49;htl1;0
Morton1950:2/49;htl2;0
Morton1950:2/49;hsl;0
Morton1950:2/49;hhl1;0
Morton1950:2/49;hhl2;0
Morton1950:2/49;plsx;20
Morton1950:2/49;plsy;20
Morton1950:2/49;expo;SW
Morton1950:2/49;slope;70
Morton1950:2/49;rock;0
Morton1950:2/49;stones;0
Morton1950:2/49;bare;0
Morton1950:2/49;soil;
Morton1950:2/49;date;17.06.1949
Morton1950:2/49;altitude;1400
Morton1950:2/49;precision.vertical;50
Morton1950:2/49;precision.horizontal;200
Morton1950:2/49;longitude;13,74431
Morton1950:2/49;latitude;47,56223
Morton1950:2/49;comment;Nr. I (J. Pilz)
Morton1950:2/49;location;Südwestabfall des Rubenkogels
Morton1950:5/56;cov;10
Morton1950:5/56;tcov1;0
Morton1950:5/56;scov;0
Morton1950:5/56;hcov;10
Morton1950:5/56;mcov;1
Morton1950:5/56;htl1;0
Morton1950:5/56;htl2;0
Morton1950:5/56;hsl;0
Morton1950:5/56;hhl1;0
Morton1950:5/56;hhl2;0
Morton1950:5/56;plsx;20
Morton1950:5/56;plsy;20
Morton1950:5/56;expo;SW
Morton1950:5/56;slope;80
Morton1950:5/56;rock;0
Morton1950:5/56;stones;0
Morton1950:5/56;bare;0
Morton1950:5/56;soil;
Morton1950:5/56;date;03.07.1949
Morton1950:5/56;altitude;1350
Morton1950:5/56;precision.vertical;50
Morton1950:5/56;precision.horizontal;200
Morton1950:5/56;longitude;13,70459
Morton1950:5/56;latitude;47,67392
Morton1950:5/56;comment;Nr. I (J. Pilz)
Morton1950:5/56;location;Höherstein, Südwestwand
Morton1950:6/46;cov;10
Morton1950:6/46;tcov1;0
Morton1950:6/46;scov;0
Morton1950:6/46;hcov;10
Morton1950:6/46;mcov;0
Morton1950:6/46;htl1;0
Morton1950:6/46;htl2;0
Morton1950:6/46;hsl;0
Morton1950:6/46;hhl1;0
Morton1950:6/46;hhl2;0
Morton1950:6/46;plsx;20
Morton1950:6/46;plsy;20
Morton1950:6/46;expo;S
Morton1950:6/46;slope;65
Morton1950:6/46;rock;0
Morton1950:6/46;stones;0
Morton1950:6/46;bare;0
Morton1950:6/46;soil;
Morton1950:6/46;date;03.07.1949
Morton1950:6/46;altitude;1350
Morton1950:6/46;precision.vertical;50
Morton1950:6/46;precision.horizontal;200
Morton1950:6/46;longitude;13,70634
