plot,abbr,layer,cover,voucher,comment,history
sf10,taxu bacc,hl,+,,,
sf10,teuc cham,hl,1,,,
sf10,tili plat,hl,r,,,
sf10,ulmu glab,hl,r,,,
sf10,vale trip,hl,+,,,
sf10,vinc hiru,hl,r,,,
sf10,viol ×bav,hl,+,,,
sf10,viol coll,hl,+,,,
sf10,viol reic,hl,+,,,
sf10,poly spec ies,ml,+,,,
sf10,tort tort,ml,+,,,
sf10,amel oval,sl,+,,,
sf10,corn sang slat,sl,+,,,
sf10,cory avel,sl,+,,,
sf10,coto tome,sl,+,,,
sf10,fagu sylv,sl,+,,,
sf10,fran alnu,sl,1,,,
sf10,frax exce,sl,+,,,
sf10,ligu vulg,sl,+,,,
sf10,prun aviu slat,sl,r,,,
sf10,rham cath,sl,+,,,
sf10,rosa cani,sl,r,,,
sf10,rosa pend,sl,+,,,
sf10,sorb aria,sl,1,,,
sf10,sorb aucu aucu,sl,+,,,
sf10,vibu lant,sl,r,,,
sf10,fagu sylv,tl1,2b,,,
sf10,quer petr,tl1,2b,,,
sf10,fagu sylv,tl2,2a,,,
sf10,quer petr,tl2,1,,,
sf10,sorb aria,tl2,1,,,
sf10,taxu bacc,tl2,1,,,
sf10,tili cord,tl2,1,,,
sf11,acer plat,hl,+,,,
sf11,ajug rept,hl,+,,,
sf11,amel oval,hl,+,,,
sf11,aspl ruta,hl,+,,,
sf11,aspl tric quad,hl,+,,,
sf11,berb vulg,hl,+,,,
sf11,brac sylv,hl,+,,,
sf11,buph sali,hl,1,,,
sf11,cala vari,hl,1,,,
sf11,camp trac,hl,r,,,
sf11,card defl viri,hl,1,,,
sf11,care digi,hl,+,,,
sf11,care flac,hl,+,,,
sf11,care humi,hl,4,,,
sf11,ceph long,hl,+,,,
sf11,clem vita,hl,+,,,
sf11,corn sang slat,hl,+,,,
sf11,cory avel,hl,+,,,
sf11,coto tome,hl,r,,,
sf11,cyan mont,hl,+,,,
sf11,cycl purp,hl,+,,,
sf11,daph meze,hl,+,,,
sf11,epip atro,hl,+,,,
sf11,euph dulc,hl,+,,,
sf11,fagu sylv,hl,+,,,
sf11,frag vesc,hl,+,,,
sf11,fran alnu,hl,+,,,
